NumberCode,LongTitle,StatusName,LatestCompletedMajorStageNameWithChamberSuffix,SessionNumber,BillDocumentTypeName,IsGovernmentBill,IsHouseBill,IsSenateBill,SponsorPersonName,LatestBillEventNumberOfAmendments,PassedFirstChamberFirstReading,PassedFirstChamberSecondReading,PassedFirstChamberThirdReading,PassedSecondChamberFirstReading,PassedSecondChamberSecondReading,PassedSecondChamberThirdReading,ReceivedRoyalAssent,IsSessionOngoing
S-238,An Act to amend the Criminal Code and the Canadian Victims Bill of Rights (information about the victim),At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-239,An Act to amend the Criminal Code (criminal interest rate),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-240,An Act to amend the Old Age Security Act (definition of income),Bill not proceeded with,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-241,"An Act to amend the Criminal Code and the Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act (great apes, elephants and certain other animals)",At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-242,An Act to amend the Radiocommunication Act,At second reading in the House of Commons,First reading in the House of Commons,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,False,False,False,True
S-243,An Act to enact the Climate-Aligned Finance Act and to make related amendments to other Acts,At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-244,An Act to amend the Department of Employment and Social Development Act and the Employment Insurance Act (Employment Insurance Council),At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-245,An Act to amend the Citizenship Act (granting citizenship to certain Canadians),At report stage in the House of Commons,Second reading in the House of Commons,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,True,False,False,True
S-246,An Act respecting Lebanese Heritage Month,Royal assent received,Royal assent,1,Senate Public Bill,False,False,True, ,0,True,True,True,True,True,True,True,True
S-247,An Act to amend the Justice for Victims of Corrupt Foreign Officials Act (Sergei Magnitsky Law),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-248,An Act to amend the Criminal Code (medical assistance in dying),At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-249,An Act respecting the development of a national strategy for the prevention of intimate partner violence,At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-250,An Act to amend the Criminal Code (sterilization procedures),At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-251,An Act to repeal section 43 of the Criminal Code (Truth and Reconciliation Commission of Canada's call to action number 6),At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-252,An Act respecting Jury Duty Appreciation Week,At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-253,An Act respecting a national framework for fetal alcohol spectrum disorder,At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-254,An Act to amend the Food and Drugs Act (warning label on alcoholic beverages),At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-255,"An Act to amend the Criminal Code (murder of an intimate partner, one's own child or an intimate partner's child)",At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-256,An Act to amend the Canada Post Corporation Act (seizure) and to make related amendments to other Acts,At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-257,An Act to amend the Canadian Human Rights Act (protecting against discrimination based on political belief),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-258,An Act to amend the Canada Revenue Agency Act (reporting on unpaid income tax),At consideration in committee in the Senate,Second reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,True,False,False,False,False,False,True
S-259,An Act to designate the month of March as Hellenic Heritage Month,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-260,An Act respecting National Diffuse Midline Glioma Awareness Day,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-261,An Act respecting non-disclosure agreements,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-262,An Act to amend the Citizenship Act (Oath of Citizenship),At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-263,An Act respecting the National Strategy to Combat Human Trafficking,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-264,An Act to establish International Tax Justice and Cooperation Day,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-265,"An Act to enact the Federal Ombudsperson for Victims of Crime Act, to amend the Canadian Victims Bill of Rights and to establish a framework for implementing the rights of victims of crime",At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
S-266,An Act to amend the Criminal Code and the Sex Offender Information Registration Act,At second reading in the Senate,First reading in the Senate,1,Senate Public Bill,False,False,True, ,0,True,False,False,False,False,False,False,True
